Clase,PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,TRANSPORTE,DESCRIPCION,CONTENT-URL,DIRECCION,ParsedStreet,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,ParsedPostal,BARRIO,DISTRITO,LATITUD,CoorParsed,LONGITUD,TELEFONO,EMAIL,TIPO,SUBTIPO,SubTipoParseado,FECHA,AUTORES,PDF
monumentos,409634,A Las V#ictimas Del Holocausto,NOConocido,NOConocido,NOConocido,NOConocido,La obra_ creada por el escultor jud#io de origen sefard#i Samuel Nah#on_ se realiz#o como homenaje a todas las v#ictimas del Holocausto nazi durante la Segunda Guerra Mundial. Se trata de un grupo escult#orico_ fruto de un convenio firmado en 2005 entre el Ayuntamiento y la Comunidad Jud#ia de Madrid_ que est#a ubicado en las proximidades del Jard#in de las Tres Culturas (s#imbolo de la convivencia en España de las civilizaciones hebrea_ cristiana y musulmana)_ concretamente junto al Vergel de los Granados o Jard#in Jud#io. Aunque no corresponde a los trabajos encargados con motivo del Simposium Internacional de Esculturas al Aire Libre organizado por el Ayuntamiento de Madrid en 1991 para la decoraci#on del Parque Juan Carlos I_ en la actualidad es una de las piezas (concretamente la n&amp;ordm; 19) que integra la llamada Senda de las Esculturas_ un recorrido art#istico-did#actico por todo el parque donde el visitante percibe las vinculaciones entre el Arte y la Naturaleza_ a trav#es de una serie de creaciones de diferentes escultores que exhiben una gran variedad de propuestas est#eticas. El monumento fue inaugurado el 15 de abril de 2007 en un acto solemne al que acudieron_ entre otros_ el alcalde de Madrid Alberto Ruiz Gallard#on_ el presidente de la Comunidad Jud#ia en Madrid Jacobo Israel Garz#on_ el Defensor del Pueblo Enrique M#ugica y el embajador de Israel en España V#ictor Harel.,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=6148091d1b9c4510091d1b9c45102e085a0aRCRD,JARDIN TRES CULTURAS,JardinTresCulturasNum67408,NOConocido,MADRID,MADRID,10000,10000N67725,NOConocido,DISTRITO,40.46432173275739,46432173275739N9413,-3.6035577418764246,NOConocido,NOConocido,NoIdentificado,Escultura conceptual o abstracta,EsculturaConceptualOAbstracta,2005,NAHÓN BENGIO_ Samuel - STISIN_ Alberto,https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/409634.pdf?idMonumento=6148091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M
monumentos,409512,A Los Abuelos,NOConocido,NOConocido,NOConocido,NOConocido,Pequeña escultura_ situada en un parque delimitado por la intersecci#on entre las calles Alic#un y Purchena_ que fue donada por la cercana Escuela Infantil “El Carmen” al Concejal del Distrito Jorge Tapia. La obra constituye un homenaje a los abuelos y abuelas que cuidan de sus nietos.,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=2e28091d1b9c4510091d1b9c45102e085a0aRCRD,C AlicTTun,CAlicunNum40912,NOConocido,MADRID,MADRID,10000,10000N61531,APÓSTOL SANTIAGO,HORTALEZA,40.479811874274304,479811874274304N9955,-3.6617189257190366,NOConocido,NOConocido,NoIdentificado,Grupo Escultórico,GrupoEscultTTorico,1994,M._ Esther,https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/409512.pdf?idMonumento=2e28091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M
monumentos,408781,A Neruda-el Ser Alado,NOConocido,NOConocido,NOConocido,NOConocido,Monumento dedicado al escritor Pablo Neruda (1904-1973)_ c#elebre poeta chileno que recibi#o el premio Nobel de Literatura en 1971 y que da nombre a esta importante avenida madrileña del distrito de Puente de Vallecas. La obra_ conocida como El Ser Alado_ fue realizada en 1988 por el grabador_ pintor y escultor menorqu#in Mat#ias Quetgl#as (Ciudadela_ 1946). Est#a situada sobre uno de los portales del bloque de viviendas ubicado en el n#umero 116 de la avenida de Pablo Neruda_ proyectado por los arquitectos Pablo Carvajal Urquijo_ Juan Montes Mieza y Manuel Paredes Grosso en 1986_ y edificado entre 1987 y 1989.,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=a218091d1b9c4510091d1b9c45102e085a0aRCRD,Gta JosTTe Luis Ozores,GtaJoseLuisOzoresNum49854,116,MADRID,MADRID,10000,10000N36181,PORTAZGO,PUENTE DE VALLECAS,40.38185544198019,38185544198019N4237,-3.652418582261822,NOConocido,NOConocido,NoIdentificado,Estatua,Estatua,1988,QUETGLÁS_ Mat#ias,https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/408781.pdf?idMonumento=a218091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M
monumentos,408836,Abogados Laboristas,NOConocido,NOConocido,NOConocido,NOConocido,El 24 de enero de 1977 se produjo un atentado terrorista en un despacho de abogados en derecho laboral de Comisiones Obreras y del Partido Comunista_ todav#ia ilegal_ matando a los abogados Enrique Vandelvira_ Javier Benavides y Javier Sauquillo_ al estudiante de derecho Seraf#in Holgado y el administrativo Ángel Rodr#iguez_ dejando cuatro heridos. Fue cometido por un comando de la extrema derecha_ la Triple A_ Alianza Apost#olica Anticomunista.A iniciativa del Ayuntamiento de Madrid y en recuerdo del asesinato se instal#o esta l#apida el 24 de enero de 1987_ en el d#ecimo aniversario del atentado.El diseño de la l#apida fue realizado por Joaqu#in Rold#an_ Arquitecto Jefe de la Secci#on del Patrimonio Hist#orico-Art#istico del Departamento de Conservaci#on de Edificaciones_ y ejecutado por la Empresa CONSTRUCCIONES B. BELTRÁN_ S.A.,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=02c8091d1b9c4510091d1b9c45102e085a0aRCRD,C Atocha,CAtochaNum98339,55,MADRID,MADRID,10000,10000N74913,CORTES,CENTRO,40.41291066085913,41291066085913N4372,-3.7000168301267395,NOConocido,NOConocido,NoIdentificado,Elemento conmemorativo_ Lápida,ElementoConmemorativoLTTapida,1987,ROLDÁN PASCUAL_ Joaqu#in,https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/408836.pdf?idMonumento=02c8091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M
monumentos,408920,Abstracta I,NOConocido,NOConocido,NOConocido,NOConocido,La hist#orica quinta de la Fuente del Berro_ declarada Jard#in Art#istico seg#un decretos de 31 de julio de 1941 y 4 de Enero de 1946. fue adquirida por el Ayuntamiento de Madrid siendo alcalde el conde de Mayalde_ seg#un escritura de 21 de junio de 1948. A partir de ese momento_ el Ayuntamiento abord#o una reforma del conjunto_ cerrando el palacete y abriendo los jardines en 1953 como parque p#ublico. Algunas de las piezas escult#oricas que lo ornamentaban fueron retiradas por su #ultimo propietario don Mauritz van Eehgen_ con lo cual el Ayuntamiento de Madrid tuvo la posibilidad de ir colocando en el lugar nuevas esculturas_ de las cuales algunas son figurativas_ conmemorativas_ o abstractas; como esta pieza del escultor madrileño Fernando Gonz#alez Calisavo_ m#as conocido como Gayo_ que se ubica en medio de una pradera_ enfrentada a otra escultura del mismo autor.,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=c938091d1b9c4510091d1b9c45102e085a0aRCRD,NOConocido,NoDireccionNum56254,NOConocido,MADRID,MADRID,10000,10000N86822,FUENTE DEL BERRO,SALAMANCA,40.421745563287864,421745563287864N3194,-3.6622930226849992,NOConocido,NOConocido,NoIdentificado,Escultura conceptual o abstracta,EsculturaConceptualOAbstracta,1992,GONZÁLEZ CALISAVO_ Fernando,https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/408920.pdf?idMonumento=c938091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M
monumentos,408921,Abstracta Ii,NOConocido,NOConocido,NOConocido,NOConocido,La hist#orica quinta de la Fuente del Berro_ declarada Jard#in Art#istico seg#un decretos de 31 de julio de 1941 y 4 de Enero de 1946_ fue adquirida por el Ayuntamiento de Madrid siendo alcalde el conde de Mayalde_ seg#un escritura de 21 de junio de 1948. A partir de ese momento_ el Ayuntamiento abord#o una reforma del conjunto_ cerrando el palacete y abriendo los jardines en 1953 como parque p#ublico. Algunas de las piezas escult#oricas que lo ornamentaban fueron retiradas por su #ultimo propietario don Mauritz van Eehgen_ con lo cual el Ayuntamiento de Madrid tuvo la posibilidad de ir colocando en el lugar nuevas esculturas_ de las cuales algunas son figurativas_ conmemorativas_ o abstractas; como esta pieza del escultor madrileño Fernando Gonz#alez Calisavo_ m#as conocido como Gayo_ que se ubica en medio de una pradera_ enfrentada a otra escultura del mismo autor.,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=e938091d1b9c4510091d1b9c45102e085a0aRCRD,NOConocido,NoDireccionNum47010,NOConocido,MADRID,MADRID,10000,10000N21011,FUENTE DEL BERRO,SALAMANCA,40.4219619708435,4219619708435N2375,-3.6622597814331255,NOConocido,NOConocido,NoIdentificado,Escultura conceptual o abstracta,EsculturaConceptualOAbstracta,1992,GONZÁLEZ CALISAVO_ Fernando,https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/408921.pdf?idMonumento=e938091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M
monumentos,400147,Abundancia,NOConocido,NOConocido,NOConocido,NOConocido,En el año 1958 se celebr#o un sorteo extraordinario de la Loter#ia Nacional con el fin de recabar fondos para construir una nueva sede para la Central de Loter#ias y Apuestas del Estado_ que sustituyese a la que desde 1932 se hallaba en la calle de Montalb#an. El nuevo edificio se inaugur#o en 1963 al final de la calle de Guzm#an el Bueno_ y fue construido seg#un un proyecto de corte monumentalista –pero moderno en sus detalles– diseñado por el arquitecto Manuel R#odenas_ autor de otras obras destinadas a las Aduanas del Estado durante esos años_ que en la enf#atica entrada retranqueada respecto de la calle dispuso dos grupos escult#oricos flanqueando la plataforma escalonada donde se abren las puertas principales. Estos grupos fueron realizados por el escultor murciano –de Espinardo– Jos#e Planes Peñalver (1891-1974)_ artista con una carrera llena de #exitos –como el Premio Nacional de Escultura de 1932 o el primer premio del Concurso Nacional de Bellas Artes del año 1943–_ que en 1933 fund#o la Escuela de Artes y Oficios de Murcia de la que fue director_ y en 1960 fue nombrado acad#emico de la Real Academia de Bellas Artes de San Fernando. Este edificio fue compartido con la Direcci#on General de Aduanas hasta el año 2000_ lo que explica que se haya querido atribuir una representaci#on simb#olica a cada escultura en relaci#on con las Aduanas o la Loter#ia_ cuando los atributos que se hacen visibles corresponden a la Abundancia (un haz de trigo) o a la Fortuna (un c#antaro con monedas).,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=a038091d1b9c4510091d1b9c45102e085a0aRCRD,CALLE GUZMAN EL BUENO,CalleGuzmanElBuenoNum97161,137,MADRID,MADRID,28003,28003N50117,VALLEHERMOSO,CHAMBERI,40.444200911178676,444200911178676N5318,-3.712595448820414,NOConocido,NOConocido,NoIdentificado,Grupo Escultórico,GrupoEscultTTorico,1963,PLANES PEÑALVER_ Jos#e - TORRES GUARDIA_ Jos#e,https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/400147.pdf?idMonumento=a038091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M
monumentos,414012,Academia De Farmacia,NOConocido,NOConocido,NOConocido,NOConocido,La Academia de Farmacia tuvo como antecedente la Congregaci#on y Colegio de Boticarios_ cuya fundaci#on data del siglo XVI. Felipe V_ por Pragm#atica de 1737_ cre#o el Real Colegio de Farmac#euticos; tras varios traslados por las calles Barquillo_ Relatores y Atocha_ finalmente se instal#o en un edificio de la calle San Pedro. En 1830 el Estado cre#o el Colegio de Farmacia de San Fernando_ que se traslad#o a un nuevo edificio_ construido por suscripci#on entre todos los farmac#euticos_ en la calle San Juan_ que pasar#ia entonces a llamarse calle Farmacia_ donde estuvo hasta su traslado a la actual Facultad de Farmacia en la Universidad Complutense. Al terminar la Guerra Civil_ recobr#o el t#itulo de Real y en 1946 fue incorporada al Instituto de España_ como las dem#as Reales Academias. El edificio fue diseñado_ dentro de la est#etica neocl#asica del momento_ por el arquitecto Pedro de Zengotitabengoa entre 1827 y 1830; la fachada_ parcialmente c#oncava_ es sim#etrica_ con tres cuerpos: de cinco vanos el central y tres los laterales; sobre el vano central del primer piso aparece una l#apida de m#armol_ dedicada a Fernando VII recordando que bajo su reinado se construy#o este edificio; posteriormente se añadi#o un front#on triangular_ con escudo  timbrado de corona real_ realizado en caliza blanca. Al celebrarse el centenario de la fundaci#on de la Academia de Farmacia_ se instalaron dos l#apidas (una de ellas ha desaparecido)_ patrocinadas por los farmac#euticos colegiados.,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=c2a8091d1b9c4510091d1b9c45102e085a0aRCRD,C Farmacia,CFarmaciaNum31501,9,MADRID,MADRID,10000,10000N48951,JUSTICIA,CENTRO,40.42396655835703,42396655835703N5652,-3.69971884411894,NOConocido,NOConocido,NoIdentificado,Elemento conmemorativo_ Lápida,ElementoConmemorativoLTTapida,1930,NOConocido,https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/414012.pdf?idMonumento=c2a8091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M
monumentos,409550,Acueducto Y Rejas Sobre El Arroyo Del Barranco De La Zorra,NOConocido,NOConocido,NOConocido,NOConocido,Esta construcci#on_ h#ibrida de puente-acueducto y puerta_ alberga uno de los cerramientos con rejer#ia de hierro de fundici#on_ com#unmente conocidos como &amp;ldquo;rejas&amp;rdquo; de la Casa de Campo y concebido para permitir que los arroyos procedentes del municipio de Pozuelo de Alarc#on discurrieran por su cauce natural hasta su desembocadura en el r#io Manzanares_ atravesando el bosque real. Como tal_ es una de las cinco rejas que han llegado a nuestros d#ias: la del arroyo Meaques_ la del arroyo de Prado del Rey_ las dos del arroyo de Antequina y #esta del barranco del arroyo de la Zorra. Como todas ellas tambi#en_ se enmarca en una obra en ladrillo construida por Francisco Sabatini_ a la saz#on arquitecto e ingeniero real_ datada en 1768 y promovida a instancias de la Casa del Rey dentro del proyecto global de las infraestructuras hidr#aulicas de la Casa de Campo encomendadas al insigne arquitecto_ siendo una demostraci#on m#as de su reconocido talento t#ecnico y de su versatilidad intelectual y art#istica_ lo que ha debido de contribuir a su reciente inclusi#on en el Cat#alogo de monumentos y elementos urbanos por parte del Ayuntamiento de Madrid como elementos susceptibles de protecci#on hist#orico-art#istica (nivel 1). En la actualidad_ el muro o vallado de cerramiento al que se adosa ha quedado adjunto a una urbanizaci#on de viviendas unifamiliares apoyadas materialmente en el mismo.,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=27e8091d1b9c4510091d1b9c45102e085a0aRCRD,CAMINO HUMERA,CaminoHumeraNum23642,NOConocido,MADRID,MADRID,10000,10000N44197,NOConocido,DISTRITO,40.41174353391996,41174353391996N7521,-3.7788899519852,NOConocido,NOConocido,NoIdentificado,Puente_ construcción civil,PuenteConstrucciTTonCivil,1768,SABATINI_ Francisco,https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/409550.pdf?idMonumento=27e8091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M
monumentos,400108,Ad Iesum Per Mariam,NOConocido,NOConocido,NOConocido,NOConocido,El grupo escult#orico conocido como &amp;ldquo;Camino de Santidad&amp;rdquo; est#a_ dedicado al Papa polaco Juan Pablo II (1920-2005)_ y se debe a una iniciativa del presidente del Grupo Intereconom#ia_ Julio Ariza Irigoyen_ y del presidente de la Mutua Madrileña Automovilista_ Jos#e Mar#ia Ram#irez Pomata. Fue sufragado por suscripci#on popular e inaugurado el 8 de Diciembre de 2005 en el paseo de la Castellana_ junto Museo de Arte Abstracto al Aire Libre. En el año 2014 fue trasladado al parque municipal Juan Pablo II_ un parque de m#as de 10 hect#areas situado entre el Pinar de Barajas_ la Avenida del Papa Negro_ la Avenida de los Andes y la Avenida de Machupichu.   La escultura se encarg#o al escultor emeritense Juan de Ávalos (1911-2006)_ c#elebre autor de las esculturas del Valle de los Ca#idos y otros muchos monumentos repartidos por toda la geograf#ia hispana. Es una de las #ultimas obras de este autor_ represaliado por el r#egimen franquista -a pesar de lo cual hizo los principales monumentos de ese periodo- que acudi#o repetidas veces a sus potentes cualidades expresivas para magnificar personajes y acontecimientos significativos de la Dictadura. En el año 2007 se añadieron dos nuevas inscripciones en las paredes laterales del pedestal.,https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=6f28091d1b9c4510091d1b9c45102e085a0aRCRD,AVENIDA MACHUPICHU,AvenidaMachupichuNum539,1,MADRID,MADRID,28043,28043N74396,PIOVERA,HORTALEZA,40.455452874785294,455452874785294N4389,-3.6235245684794966,NOConocido,NOConocido,NoIdentificado,Grupo Escultórico,GrupoEscultTTorico,2005,ÁVALOS GARCÍA TABORDA_ Juan de,https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/400108.pdf?idMonumento=6f28091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M
