Number,Registration,Details,Product,Odometer,Distance,Unit,MPG
,,,,,,,
0001,U1,Jaguar XJL Portfolio V6 D Limousine,Diesel,67691,0,Miles,0
0012,FL65FBA,Vauxhall CORSA  CDTI Car,Diesel,9329,2849,Miles,50.04
0013,MJ16XMY,Vauxhall Mokka 4x4 Utility Vehicle,Diesel,29064,5369,Miles,39.29
0016,BP16MKK,Nissan Note Car,Diesel,42233,1052,Miles,56.17
0017,YD16NAL,Peugeot car Car,Diesel,20475,3319,Miles,108.32
0018,YD16NAK,Peugeot 308 Car Car,Diesel,115020,36100,Miles,50.79
0019,BP16OPD,Nissan Note Car,Diesel,15559,948,Miles,36.04
0020,YH17VCF,Peugeot Expert Combi 9 seat MPV,Diesel,37352,14202,Miles,34.75
0021,MF68FNR,Renault  Traffic Welfare,Diesel,112,0,Miles,0
0023,YE19FLS,Volkswagon Caddy Maxi Welfare,Diesel,16270,16244,Miles,37.09
0024,YG69UKP,  Caddy Maxi Life Wav,Diesel,8103,8066,Miles,42.22
0025,YG69UKR,  Caddy Maxi Life Van,Diesel,6187,6160,Miles,36.93
0026,YH69ZYT,Volkswagen  Caddy Maxi Life Van,Diesel,6378,6361,Miles,35.21
0027,YL69KJN,  VW Caddy,Diesel,1060,1032,Miles,26.6
0028,YL69KJV,  VW Caddy,Diesel,360,307,Miles,15.77
0029,YL69KJO,  VW Caddy,Diesel,967,884,Miles,24.48
0030,YL69KJU,  VW Caddy,Diesel,925,895,Miles,28.76
0031,YG20GRF,Volkswagen Caddy 7 seater,Diesel,691,656,Miles,20.03
0032,YG20AHU,Volkswagen Caddy 7 seater,Diesel,366,299,Miles,16.18
0033,YG20GRU,Volkswagen Caddy 7 seater,Diesel,1075,1044,Miles,29.36
0034,YG20GRK,Volkswagen Caddy 7 seater,Diesel,784,756,Miles,26.26
0035,YG20YGZ,Volkswagen Maxi Life Caddy,Diesel,393,318,Miles,18.5
0036,YG20WFN,Volkswagen Maxi Life Caddy,Diesel,53,0,Miles,0
0037,YH20JYF,Volkswagen Maxi Life Caddy,Diesel,0,0,Miles,0
0038,YG20WFT,Volkswagen Maxi Life Caddy,Diesel,22,0,Miles,0
0039,YG20WFR,Volkswagen Maxi Life Caddy,Diesel,350,300,Miles,17.98
0040,YG20YHC,Volkswagen Maxi Life Caddy,Diesel,79,0,Miles,0
0041,YH20JYE,Volkswagen Caddy 7 seater,Diesel,33,0,Miles,0
0042,YG20WFM,Volkswagen Maxi Life Caddy,Diesel,0,0,Miles,0
0043,YH20OBP,Volkswagen Maxi Life Caddy,Diesel,25,0,Miles,0
0044,YC20LKE,Volkwagon Caddy Life MPV,Diesel,0,0,Miles,0
