PUNTOS WIFI,DIRECCION,LAT,LON
Punto WI-FI. Plaza de la Alegría,Plaza de la Alegría,40.309704,-3.44872
Punto WI-FI. Calle San Sebastián / Calle Perú,Calle San Sebastián,40.308167,-3.451166
Punto WI-FI. Centro Integrado de la Poveda Exterior,"Calle Formentera, 1",40.313206,-3.47846
Punto WI-FI. Calle Monte Potrero,Calle Monte Potrero,40.315071,-3.478632
Punto WI-FI. Gerencia de Urbanismo Exterior,"Avenida del Cañal, 44",40.309994,-3.474771
"Punto WI-FI. Centro Deportivo ""Alberto Herreros"". Exterior.","Ronda del Sur, 43",40.296494,-3.448856
Punto WI-FI. Avenida del Ejército (Las Brujas),Avda. del Ejército,40.302853,-3.447844
Punto WI-FI. Avenida de los Derechos Humanos,Avda. de los Derechos Humanos,40.305389,-3.441428
Punto WI-FI. Recinto Ferial,Ctra. AR-30,40.30518,-3.437093
Punto WI-FI. Parque Gran Hábitat (Zona AR30),Urbanización Gran Habitat,40.304718,-3.439282
Punto WI-FI. Calle Solidaridad,Calle Solidaridad,40.307037,-3.447325
Punto WI-FI. Los Almendros,Calle de los Almendros,40.291344,-3.44239
Punto WI-FI. Avenida del Instituto,Avda. del Instituto,40.295635,-3.442029
Punto WI-FI. Parque de La Perlita,Calle Presidente Adolfo Suárez,40.295139,-3.446381
Punto WI-FI. Bosque de la Música,Calle Presidente Adolfo Suárez,40.295139,-3.446381
Punto WI-FI. Camino del Estrechillo,Camino del Estrechillo,40.310867,-3.482237
Punto WI-FI. Parque Monte Acho,Calle Monte Acho,40.314522,-3.481448
Punto WI-FI. Parque Camino de la Poveda,Camino de la Poveda,40.31279,-3.479844
Punto WI-FI. Parque las Nieves,Avda. del Ejército,40.301704,-3.445802
Punto WI-FI. Avenida de Madrid 1,Avda. de Madrid.,40.307236,-3.468161
Punto WI-FI. Avenida de Madrid 2,Avda. de Madrid.,40.305351,-3.458483
Punto WI-FI. Avenida de Madrid 3,Avda. de Madrid.,40.306225,-3.462821
Punto WI-FI. Avenida de Madrid 4,Avda. de Madrid,40.308331,-3.474491
Punto WI-FI. Camino Puente Viejo,Camino del Puente Viejo.,40.310295,-3.463397
Punto WI-FI. Vereda de las Yeguas,Vereda de las Yeguas,40.315769,-3.467653
Punto WI-FI. Camino de la Isla,Camino de la Isla,40.309246,-3.482151
