Cuenta: Ayuntamiento de Las Rozas;;;;
Usuario: Santamarta;;;;
Generado: 04/11/2021;;;;
Durante el periodo: Octubre 6  2021 - Noviembre 4  2021;;;;
Filtros:  ;;;;
tipo de residuo: Todos;;;;
Grupos: Todos;;;;
Ruta ordenada: Todos;;;;
;;;;
;;;;
Serie;Descripcion;Tipo de flujo;Capacidad;Promedio de dias para llegar a lleno
1527406;Puntagalea;Residuos;Alto;116.2 dias
1528780;Kiosko Cantizal;Residuos;Alto;-
1528783;"Mercadona; Castillo Atienza";Residuos;Alto;-
1528785;Parque Frente Al Zola;Residuos;Alto;112.3 dias
1528792;"Parque Paris; Entrada Avioneta";Residuos;Alto;-
1528797;Calle Real N35 (Bar La Caleta);Residuos;Alto;13.1 dias
1528798;Espíritu De Ermua Marazuela;Residuos;Alto;-
1528803;"Plaza De Esparta; Bar Los Amigos";Botellas/latas;Alto;-
1528804;"Bulevar Camilo Jose Cela; Barco Pirata";Residuos;Alto;-
1528805;Plaza De Espa񡻠Bar Los Amigos;Residuos;Alto;18.3 dias
1528807;"Calle Real; Banco Sabadell";Residuos;Alto;4.9 dias
1528808;"Calle Real; Banco Sabadell";Botellas/latas;Alto;5.2 dias
1528809;"Salida San Miguel; Parada BUS";Residuos;Alto;58.4 dias
1528810;Travesia Heron-las Rozas;Residuos;Alto;33.3 dias
1528811;Molino De La Hoz;Residuos;Alto;-
1528817;Estacion Cercanias Las Matas;Residuos;Alto;20.3 dias
1528818;"Calle Real; Javerianas";Residuos;Alto;14.4 dias
1528819;Mercedes Formica;Residuos;Alto;43.0 dias
1528820;"Bulevar Camilo Jose Cela; Barco Pirata";Botellas/latas;Alto;21.7 dias
1528822;Estacion Cercanias Las Matas;Botellas/latas;Alto;-
